name,technical,nontechnical,total,year
80000 hours,NA,NA,300,2022
EAF post,100-200,NA,NA,2022
LW post,150,NA,NA,2022
Twitter thread,100,NA,NA,2022
Vox article,50,NA,NA,2022
State of AI presentation,94,NA,NA,2022
my estimate,247,93,340,2022
Effective Altruism,NA,NA,450,2021
